oa_id,region,region_key,title,first_author,year,cites,venue,doi,measures,measure_setting,open_world
W4415871599,Individual fidelity,B,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,Henry Peng Zou,2025,1,,https://doi.org/10.36227/techrxiv.174612962.26131807/v4,no,NONE,False
W4392489710,Individual fidelity,B,PHAnToM: Persona-based Prompting Has An Effect on Theory-of-Mind Reasoning in Large Language Models,Fiona Anting Tan,2024,1,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2403.02246,yes_method,BENCH,False
W4394971457,Individual fidelity,B,Character is Destiny: Can Role-Playing Language Agents Make Persona-Driven Decisions?,Rui Xu,2024,1,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2404.12138,yes_method,GT_FIXED,False
W4412945666,Individual fidelity,B,SynthesizeMe! Inducing Persona-Guided Prompts for Personalized Reward Models in LLMs,Michael J. Ryan,2025,1,,https://doi.org/10.18653/v1/2025.acl-long.397,yes_method,GT_FIXED,False
W7140091937,Individual fidelity,B,PATS: Personality-Aware Teaching Strategies with Large Language Model Tutors,Donya Rooein,2026,1,,https://doi.org/10.18653/v1/2026.findings-eacl.219,yes_method,GT_FIXED,True
W4415013336,Individual fidelity,B,Scaling Law in LLM Simulated Personality: More Detailed and Realistic Persona Profile Is All You Need,Kun Sun,2025,1,Research Square,https://doi.org/10.21203/rs.3.rs-7777787/v1,yes_method,GT_FIXED,False
W4403786493,Individual fidelity,B,Persona-L has Entered the Chat: Leveraging LLM and Ability-based Framework for Personas of People with Complex Needs,Lipeipei Sun,2024,1,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2409.15604,no,NONE,False
W4411119042,Individual fidelity,B,Know Thyself: Validating Knowledge Awareness of LLM-based Persona Agents,Savita Bhat,2025,1,,https://doi.org/10.18653/v1/2025.trustnlp-main.22,yes_method,GT_FIXED,False
W4416035281,Individual fidelity,B,Finetuning LLMs for Human Behavior Prediction in Social Science Experiments,Akaash Kolluri,2025,1,,https://doi.org/10.18653/v1/2025.emnlp-main.1530,yes_method,GT_FIXED,False
W4392011869,Individual fidelity,B,Persona-DB: Efficient Large Language Model Personalization for Response Prediction with Collaborative Data Refinement,Chenkai Sun,2024,1,ArXiv.org,https://doi.org/10.48550/arxiv.2402.11060,yes_method,GT_FIXED,False
W4406568360,Individual fidelity,B,Towards human digital twins for healthcare agent-based modeling in the Metaverse,Tam N. Nguyen,2025,0,Elsevier eBooks,https://doi.org/10.1016/b978-0-443-21996-2.00013-9,no,NONE,False
W4417264159,Individual fidelity,B,From prompt to persona: a literature review on LLMs as single cognitive agents,Anis Tissaoui,2025,0,Journal of Ambient Intelligence and Humanized Computing,https://doi.org/10.1007/s12652-025-05029-4,no,NONE,False
W7117476864,Individual fidelity,B,Motor Crash Compensation Psychosocial Recovery Journeys: A Comparison of Large Language Model Insights (Preprint),John McMahon,2025,0,,https://doi.org/10.2196/preprints.90269,no,NONE,False
W7126116134,Individual fidelity,B,Personality Intelligence System Based on a Three-Layer Psychological Model,学靖 万,2025,0,Embedded Technology and Intelligent Systems,https://doi.org/10.12677/etis.2025.25030,no,NONE,False
W7153759222,Individual fidelity,B,PersonaCite: VoC-Grounded Interviewable Agentic Synthetic AI Personas for Verifiable User and Design Research,Mario Truss,2026,0,,https://doi.org/10.1145/3772363.3798543,yes_method,GT_AGGREGATE,True
W7163719692,Individual fidelity,B,Synthetic Personalities: How Well Can LLMs Mimic Individual Respondents Using Socio-Economic Microdata?,Leonard Kinzinger,2026,0,ArXiv.org,,yes_method,GT_FIXED,False
W7163546737,Individual fidelity,B,Synthetic Personalities: How Well Can LLMs Mimic Individual Respondents Using Socio-Economic Microdata?,Leonard Kinzinger,2026,0,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2606.04592,yes_method,GT_FIXED,False
W7162218243,Individual fidelity,B,Narrative Sharpens Gender Gaps: Surveying Film Characters with LLM Agents,Vivienne Bihe,2026,0,ArXiv.org,,yes_method,GT_AGGREGATE,False
W7153185612,Individual fidelity,B,"Leaving Insight to Digital Twins? Promise, Progress and Limits of Synthetic Respondents",Carolin Kaiser,2026,0,NIM Marketing Intelligence Review,https://doi.org/10.2478/nimmir-2026-0008,yes_method,GT_AGGREGATE,False
W4417420292,Individual fidelity,B,Exploring Personality Structure Through LLM Agent,Yasuhiro Hashimoto,2025,0,Psychological Test Adaptation and Development,https://doi.org/10.1027/2698-1866/a000114,yes_method,GT_AGGREGATE,False
W4387835442,Generative agents (open-world),C,Generative Agents: Interactive Simulacra of Human Behavior,Joon Sung Park,2023,1470,,https://doi.org/10.1145/3586183.3606763,,,
